Latitude,Longitude
33.776351,72.726638
33.776451,72.726737
33.776504,72.726783
33.776611,72.726867
33.776664,72.726898
33.776752,72.726959
33.776782,72.726982
33.776828,72.727012
33.776844,72.72702
33.776863,72.727043
33.77687,72.72705
33.776882,72.727066
33.776885,72.727081
33.776878,72.727104
33.776878,72.727104
33.776878,72.727088
33.776878,72.727088
33.776878,72.727088
33.77687,72.727096
33.776828,72.727111
33.776802,72.727111
33.776729,72.727088
33.776687,72.727081
33.776611,72.727066
33.776576,72.72705
33.776527,72.727012
33.776504,72.726989
33.776439,72.726921
33.776401,72.726875
33.776313,72.726791
33.776268,72.726745
33.77618,72.726654
33.776145,72.726615
33.776081,72.726547
33.776046,72.726509
33.775981,72.726432
33.775943,72.726394
33.775871,72.726318
33.775833,72.726287
33.775764,72.726211
33.77573,72.726181
33.775665,72.726112
33.775634,72.726081
33.775573,72.726013
33.775547,72.725982
33.775485,72.725914
33.775451,72.725883
33.775382,72.725814
33.775352,72.725784
33.775283,72.725715
33.775249,72.725677
33.77518,72.725608
33.77515,72.725578
33.775089,72.725517
33.775062,72.725486
33.775009,72.72544
33.77499,72.72541
33.774948,72.725364
33.774925,72.725341
33.774879,72.725296
33.774856,72.725273
33.774814,72.725227
33.774799,72.725212
33.774765,72.725166
33.774745,72.725143
33.774703,72.725105
33.774688,72.72509
33.774654,72.725082
33.774639,72.72509
33.774612,72.725112
33.7746,72.725128
33.774578,72.725181
33.774566,72.725204
33.774524,72.725257
33.774505,72.72528
33.774459,72.725341
33.774436,72.725379
33.774383,72.725433
33.77436,72.725463
33.774333,72.725509
33.774314,72.725532
33.77428,72.725593
33.774261,72.725624
33.77423,72.725677
33.774219,72.725692
33.774208,72.725723
33.7742,72.725738
33.774196,72.725753
33.774196,72.725746
33.7742,72.725746
33.7742,72.725746
33.7742,72.725746
33.7742,72.725738
33.7742,72.725738
33.7742,72.725738
33.7742,72.725738
33.774196,72.72573
33.7742,72.725738
33.7742,72.725746
33.7742,72.725769
33.774211,72.725784
33.774219,72.725791
33.774219,72.725784
33.774215,72.725784
33.774215,72.725776
33.774211,72.725776
33.774223,72.725776
33.774234,72.725784
33.774238,72.725791
33.77425,72.725799
33.77425,72.725799
33.774246,72.725799
33.774246,72.725791
33.774246,72.725799
33.774246,72.725799
33.774242,72.725799
33.774238,72.725799
33.774227,72.725807
33.774227,72.725807
33.774227,72.725814
33.774227,72.725814
33.774234,72.725822
33.774234,72.725822
33.774238,72.725814
33.774234,72.725814
33.774234,72.725814
33.774234,72.725814
33.774234,72.725814
33.774234,72.725814
33.774234,72.725814
33.774234,72.725814
33.774234,72.725814
33.774234,72.725814
33.774234,72.725814
33.774234,72.725814
33.77423,72.725814
33.77423,72.725814
33.77423,72.725814
33.774227,72.725845
33.774227,72.725852
33.774227,72.725852
33.774227,72.725852
33.774227,72.725852
33.77423,72.725852
33.77423,72.725852
33.77423,72.725852
33.77423,72.725852
33.774227,72.725852
33.774227,72.725852
33.774227,72.725852
